Reference, Value, Footprint, Datasheet, Digikey
IC1,ATMEGA328-A,Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm,
X1,20MHz,Crystals_Oscillators_SMD:Q_49U3HMS,
C5,22pF,Capacitors_SMD:C_0805,
C6,22pF,Capacitors_SMD:C_0805,
C4,100nF,Capacitors_SMD:C_0805,
C3,100nF,Capacitors_SMD:C_0805,
C2,100nF,Capacitors_SMD:C_0805,
LED1,APA102,APA102:APA102,DOCUMENTATION
LED2,APA102,APA102:APA102,DOCUMENTATION
LED3,APA102,APA102:APA102,DOCUMENTATION
LED4,APA102,APA102:APA102,DOCUMENTATION
LED5,APA102,APA102:APA102,DOCUMENTATION
LED6,APA102,APA102:APA102,DOCUMENTATION
LED7,APA102,APA102:APA102,DOCUMENTATION
LED8,APA102,APA102:APA102,DOCUMENTATION
LED9,APA102,APA102:APA102,DOCUMENTATION
LED10,APA102,APA102:APA102,DOCUMENTATION
LED11,APA102,APA102:APA102,DOCUMENTATION
LED12,APA102,APA102:APA102,DOCUMENTATION
LED13,APA102,APA102:APA102,DOCUMENTATION
LED14,APA102,APA102:APA102,DOCUMENTATION
LED15,APA102,APA102:APA102,DOCUMENTATION
LED16,APA102,APA102:APA102,DOCUMENTATION
LED17,APA102,APA102:APA102,DOCUMENTATION
C1,100uF 25v,Capacitors_SMD:c_elec_6.3x5.3,http://nichicon-us.com/english/products/pdfs/e-wx.pdf,http://www.digikey.com/product-detail/en/UWX1E101MCL1GB/493-2113-1-ND/590088
R1,330,Resistors_SMD:R_0805,
R2,330,Resistors_SMD:R_0805,
R3,10k,Resistors_SMD:R_0805,
SW4,RESET,Buttons_Switches_ThroughHole:SW_PUSH_SMALL,
SW1,BUT1,Buttons_Switches_ThroughHole:SW_PUSH_SMALL,
SW2,BUT2,Buttons_Switches_ThroughHole:SW_PUSH_SMALL,
SW3,BUT3,Buttons_Switches_ThroughHole:SW_PUSH_SMALL,
CON1,AVR-ISP-6,Pin_Headers:Pin_Header_Straight_2x03,
U1,US5881,TO_SOT_Packages_SMD:SOT-23,DOCUMENTATION
C8,4.7nF,Capacitors_SMD:C_0805,
C7,100nF,Capacitors_SMD:C_0805,
R4,10k,Resistors_SMD:R_0805,
P1,PWR,Pin_Headers:Pin_Header_Straight_1x02,
P2,USART,Pin_Headers:Pin_Header_Straight_1x02,
U2,TSOP4838,APA102:TSOP4838,DOCUMENTATION
C9,100nF,Capacitors_SMD:C_0805,
R5,100,Resistors_SMD:R_0805,
P3,IR_PIN_SEL,Pin_Headers:Pin_Header_Straight_1x03,
P4,CONN_01X06,Pin_Headers:Pin_Header_Straight_1x06,
